Tweet_count,Username,Text,Created At,Retweets,Likes,Category
2,AIADMK IT WING - SayYesToWomenSafety&AIADMK,மக்களாட்சிக்கு மன்னர் ஆட்சிக்கும் உள்ள வேறுபாடு,Fri Feb 28 05:55:38 +0000 2025,29,49,AIADMK
3,Malathi A,்மா_சொல்அல்ல_செயல்,Mon Feb 24 05:40:53 +0000 2025,31,280,AIADMK
4,Gowri Sankar D - Say Yes to Women Safety&AIADMK,படம் சொல்லும் கத,Tue Feb 25 12:50:26 +0000 2025,55,180,AIADMK
5,Ramya Venugopal,இதயதெய்வம் மாளிகை is shining bright and buzzing with activity the ground is set our ranks are ready and the momentum is unstoppable 2026 is oursour enemies dont stand a chance ்பாடியார்,Sat Feb 22 11:21:56 +0000 2025,33,191,AIADMK
6,நாளை நமதே - SayYestoWomenSafety&Aiadmk,toilet cleaning greatest corruption of century gcc,Thu Feb 27 17:07:00 +0000 2025,5,9,AIADMK
7,Malathi A,இந்திய அரசியல் வியந்து பார்த்த மாபெரும் பெண்ஆளுமை ்மா_சொல்அல்ல_செயல்,Mon Feb 24 08:01:02 +0000 2025,32,221,AIADMK
8,AIADMK - - SayYesToWomenSafety&AIADMK,தலைமைக் கழக அறிவிப்பு,Sat Feb 22 07:28:06 +0000 2025,212,384,AIADMK
9,Dr.Ashifshafi - Say Yes To Women Safety & AIADMK,the ppl wholl telling admk is finished in tn politics for you ppl im writing out here winning and losing is permanent in politics as youll know let me ask you ppl where did dmk went on 197787 201121 they losses 20yrs in politics man admk is most dangerous than dmk,Thu Feb 27 05:50:01 +0000 2025,48,254,AIADMK
10,AIADMK Kanchipuram- SayYesToWomenSafety&AIADMK,உயிர் கட்சி உடல் ஆட்சி ்பாடியார்,Fri Feb 21 10:02:59 +0000 2025,148,816,AIADMK
11,SP Velumani - SayYEStoWomenSafety & AIADMK,மக்களாள் நான் மக்களுக்காகவே நான் என தவ வாழ்வு வாழ்ந்து எண்ணற்ற மக்கள் நலத்திட்டங்களை செயல்படுத்தி உலகத் தமிழர்களின் இதயங்களில் தெய்வமாய் குடி கொண்டிருக்கும் மாண்புமிகு இதய தெய்வம் புரட்சித் தலைவி அம்மா அவர்களின் 77வது பிறந்த நாளில் அவரின் பொற்பாதங்களை தொட்டு போற்றி,Mon Feb 24 03:07:48 +0000 2025,160,584,AIADMK
12,Saravanakumar(AsK) - SayYesToWomenSafety& AIADMK,தமிழ்நாட்டின் சட்டம் ஒழுங்கு சந்தி சிரிப்பதற்கும் அரசு இயந்திரங்கள் முடங்கிப் போய் கிடப்பதற்கு காரணம் இதுதான் இப்படி மாவட்ட ஆட்சித் தலைவரும் காவல் கண்காணிப்பாளரும் திமுக மாவட்ட செயலாளர் பேச்சை கேட்டதால் தான் கள்ளச்சாராயம் குடிச்சு கிட்டத்தட்ட 150 மேல செத்துப் போய்ட்டான்,Fri Feb 28 05:53:23 +0000 2025,4,6,AIADMK
13,NewsJ,புரட்சித்தலைவியின் 77 வது பிறந்த நாள்,Mon Feb 24 03:49:56 +0000 2025,36,148,AIADMK
14,AIADMK - - SayYesToWomenSafety&AIADMK,தமிழ் நாட்டில் நடைபெற்று வரும் பல்வேறு குற்றச் செயல்களை இரும்புக் கரம் கொண்டு ஒடுக்குவதற்குத் திராணியற்ற விடியா திமுக ஸ்டாலின் மாடல் அரசைக் கண்டித்தும் கழகத்தைச் சேர்ந்த திருக்கழுக்குன்றம் பேரூராட்சி செயலாளர் மீது தாக்குதல் நடத்தியவர்கள் மற்றும் இவற்றிற்குக் காரணமானவர்கள் மீது,Wed Feb 26 12:36:26 +0000 2025,250,383,AIADMK
15,V V Rajan Chellappa - SayYesToWomenSafety&AIADMK,திமுக அரசு நான்கு ஆண்டுகளில் மதுரையில் மெட்ரோ ரயில் மற்றும் டைட்டில் பார்க் அமைவதற்கு அடிப்படை பணியை கூட செய்யவில்லை,Fri Feb 28 05:50:27 +0000 2025,3,8,AIADMK
16,RAJAN KANNA - SayYesToWomenSafety&AIADMK,அவங்களோட இடத்துக்கே போய் சம்பவம் பண்ணும் துணிச்சலும் ஆண்மையும் ிமுக வுக்கு மட்டுமே உண்டு திமுகவின் முறைப்பும் விறைப்பும் உள்ளூரில் மட்டும்தான் உயிரைக் கொடுத்து ஹிந்தியை காத்த பொம்மை முதல்வரே,Tue Feb 25 06:46:54 +0000 2025,44,117,AIADMK
17,Ramya Venugopal,they can try threats pressure and intimidation but it wont work is not just a partyits a united army we stand strong we fight together and our service to the people of tamil nadu continues unshaken,Tue Feb 25 17:35:42 +0000 2025,19,113,AIADMK
18,Singai G Ramachandran,கோவையில் தனியார் கல்லூரியை சேர்ந்த 20 மாணவர்கள் இன்று நமது அஇஅதிமுக இயக்கத்தில் அவர்களாகவே முன்வந்து உறுப்பினராக தங்களை இணைத்துக் கொண்டனர் என்பதை மகிழ்ச்சியோடு தெரிவித்துக் கொள்கிறேன்,Sat Feb 22 10:05:58 +0000 2025,182,610,AIADMK
