Tweet_count,Username,Text,Created At,Retweets,Likes,Category
1,Dr.Sonali K Maria - SayYEStoWomenSafety & AIADMK,⬛️⬜️🟥✌️🌱 https://t.co/nmNLxWhHnO,Mon Feb 24 16:10:44 +0000 2025,64,1027,AIADMK
2,AIADMK IT WING - SayYesToWomenSafety&AIADMK,மக்களாட்சிக்கு மன்னர் ஆட்சிக்கும் உள்ள வேறுபாடு! https://t.co/MS7pdU4daR,Fri Feb 28 05:55:38 +0000 2025,29,49,AIADMK
3,Malathi A,"✌️🌱

#அம்மா_சொல்அல்ல_செயல்

@EPSTamilNadu 
#ADMK_VPM https://t.co/dh10XKldtn",Mon Feb 24 05:40:53 +0000 2025,31,280,AIADMK
4,Gowri Sankar D - Say Yes to Women Safety&AIADMK,படம் சொல்லும் கத..... https://t.co/r9ImAyqeXJ,Tue Feb 25 12:50:26 +0000 2025,55,180,AIADMK
5,Ramya Venugopal,"“இதயதெய்வம் மாளிகை”, is shining bright and buzzing with activity! 

The ground is set, our ranks are ready, and the momentum is unstoppable. 

2026 is ours—our enemies don’t stand a chance.

🌱💪🔥 #AIADMK #Coimbatore #2026Victory #quietconfidence #Welcomeஎடப்பாடியார் #AIADMK4TN https://t.co/XP5XdOu2Jl",Sat Feb 22 11:21:56 +0000 2025,33,191,AIADMK
6,நாளை நமதே - SayYestoWomenSafety&Aiadmk,"Toilet 🪠 Cleaning ???
#GoodBadUgly Greatest Corruption of Century (GCC) ? https://t.co/BGBcDIB8o4",Thu Feb 27 17:07:00 +0000 2025,5,9,AIADMK
7,Malathi A,"இந்திய அரசியல் வியந்து பார்த்த மாபெரும் பெண்ஆளுமை! ✌️🌱

#அம்மா_சொல்அல்ல_செயல் 
@EPSTamilNadu 
#ADMK_VPM https://t.co/wOqC9bYzkg",Mon Feb 24 08:01:02 +0000 2025,32,221,AIADMK
8,AIADMK - - SayYesToWomenSafety&AIADMK,தலைமைக் கழக அறிவிப்பு. https://t.co/WtiHvEP8Kd,Sat Feb 22 07:28:06 +0000 2025,212,384,AIADMK
9,Dr.Ashifshafi - Say Yes To Women Safety & AIADMK,"The ppl who’ll telling ADMK is finished in TN politics for you ppl I’m writing out here!

Winning and losing is permanent in politics as you’ll know let me ask you ppl where did DMK went on 1977-87. 2011-21?

They losses 20yrs in Politics man

“ADMK is most dangerous than DMK” https://t.co/nR4UmvLKQl",Thu Feb 27 05:50:01 +0000 2025,48,254,AIADMK
10,AIADMK Kanchipuram- SayYesToWomenSafety&AIADMK,"உயிர் கட்சி... உடல் ஆட்சி 🌱❤
#Welcomeஎடப்பாடியார் https://t.co/KVNRCEoJ8f",Fri Feb 21 10:02:59 +0000 2025,148,816,AIADMK
11,SP Velumani - SayYEStoWomenSafety & AIADMK,"""மக்களாள் நான், மக்களுக்காகவே நான்"" என தவ வாழ்வு வாழ்ந்து, எண்ணற்ற மக்கள் நலத்திட்டங்களை செயல்படுத்தி, உலகத் தமிழர்களின் இதயங்களில் தெய்வமாய் குடி கொண்டிருக்கும் மாண்புமிகு இதய தெய்வம், புரட்சித் தலைவி அம்மா அவர்களின் 77வது பிறந்த நாளில் அவரின் பொற்பாதங்களை தொட்டு, போற்றி https://t.co/qOPjIycSqx",Mon Feb 24 03:07:48 +0000 2025,160,584,AIADMK
12,Saravanakumar(AsK) - SayYesToWomenSafety& AIADMK,"தமிழ்நாட்டின் சட்டம் ஒழுங்கு சந்தி சிரிப்பதற்கும் அரசு இயந்திரங்கள் முடங்கிப் போய் கிடப்பதற்கு காரணம் இதுதான் 

இப்படி மாவட்ட ஆட்சித் தலைவரும், காவல் கண்காணிப்பாளரும் திமுக மாவட்ட செயலாளர்  பேச்சை கேட்டதால் தான் கள்ளச்சாராயம் குடிச்சு கிட்டத்தட்ட 150 மேல செத்துப் போய்ட்டான், https://t.co/PEXpJh7ToH",Fri Feb 28 05:53:23 +0000 2025,4,6,AIADMK
13,NewsJ,"புரட்சித்தலைவியின் 
77 -வது பிறந்த நாள் 
#jayalalitha #hbd #birthday #admk #aiadmk #newsj https://t.co/dMgxhc5KNf",Mon Feb 24 03:49:56 +0000 2025,36,148,AIADMK
14,AIADMK - - SayYesToWomenSafety&AIADMK,தமிழ் நாட்டில் நடைபெற்று வரும் பல்வேறு குற்றச் செயல்களை இரும்புக் கரம் கொண்டு ஒடுக்குவதற்குத் திராணியற்ற விடியா திமுக ஸ்டாலின் மாடல் அரசைக் கண்டித்தும்; கழகத்தைச் சேர்ந்த திருக்கழுக்குன்றம் பேரூராட்சி செயலாளர் மீது தாக்குதல் நடத்தியவர்கள் மற்றும் இவற்றிற்குக் காரணமானவர்கள் மீது https://t.co/dygh2VH4aO,Wed Feb 26 12:36:26 +0000 2025,250,383,AIADMK
15,V V Rajan Chellappa - SayYesToWomenSafety&AIADMK,திமுக அரசு நான்கு ஆண்டுகளில் மதுரையில் மெட்ரோ ரயில் மற்றும் டைட்டில் பார்க் அமைவதற்கு அடிப்படை பணியை கூட செய்யவில்லை. https://t.co/7Uv38n0a1v,Fri Feb 28 05:50:27 +0000 2025,3,8,AIADMK
16,RAJAN KANNA - SayYesToWomenSafety&AIADMK,"அவங்களோட இடத்துக்கே போய் சம்பவம் பண்ணும் துணிச்சலும், ஆண்மையும் #அதிமுக வுக்கு மட்டுமே உண்டு!

திமுகவின் முறைப்பும், விறைப்பும் உள்ளூரில் மட்டும்தான்!

உயிரைக் கொடுத்து ஹிந்தியை காத்த பொம்மை முதல்வரே!

@AIADMKITWINGOFL  #ADMK_TVL https://t.co/97bOHVy3QH",Tue Feb 25 06:46:54 +0000 2025,44,117,AIADMK
17,Ramya Venugopal,"They can try threats, pressure, and intimidation, but it won’t work.

#AIADMK is not just a party—it’s a united army.

We stand strong, we fight together, and our service to the people of Tamil Nadu continues unshaken.

@AIADMKITWINGOFL @AIADMKOfficial @SPVelumanicbe https://t.co/KaB6xSAB9z",Tue Feb 25 17:35:42 +0000 2025,19,113,AIADMK
18,Singai G Ramachandran,கோவையில் தனியார் கல்லூரியை சேர்ந்த 20 மாணவர்கள் இன்று நமது  அஇஅதிமுக இயக்கத்தில் அவர்களாகவே முன்வந்து உறுப்பினராக தங்களை இணைத்துக் கொண்டனர் என்பதை மகிழ்ச்சியோடு தெரிவித்துக் கொள்கிறேன்! https://t.co/T28ReVWeGS,Sat Feb 22 10:05:58 +0000 2025,182,610,AIADMK
19,Gowri Sankar D - Say Yes to Women Safety&AIADMK,"எது இந்தி, எது இங்கிலீஷ் ன்னு கூட தெரியாத தற்குறிகளா இருக்கீங்களே டா கொத்தடிமைகளா...

அது சரி... இப்படி இருக்குறதுனால தான திமுக கொத்தடிமையா இருக்கீங்க... https://t.co/4NXsKf8fWa",Mon Feb 24 16:28:16 +0000 2025,169,364,AIADMK
20,Gowri Sankar D - Say Yes to Women Safety&AIADMK,"""திமுகவுக்கு ஓட்டு போட்டது தவறு என்பதை ஜமாத்துக்கள் உணர்ந்துள்ளன""

#DMKFailsTN #DMKFails #திமுக_கேடு_தரும் https://t.co/KU3RL2JZNb",Thu Feb 27 03:14:17 +0000 2025,277,811,AIADMK
21,AK #AIADMK4TN ⚫⚪🔴,"AIADMK is committed to protect the state rights,Puratchi thalaivi Amma passed Tamilnadu state learning act in early 2006 which ensures Tamil should be a mandatory subject in all schools in Tamilnadu 
#AIADMK2026 https://t.co/cqj2V43Uss",Sun Feb 23 04:50:00 +0000 2025,44,93,AIADMK
22,DS Pradeep-SayYEStoWomenSafety&AIADMK,"📣தலைமை கழக அறிவிப்பு
அஇஅதிமுக பொதுக்கூட்டம் மற்றும் கட்சி சம்பந்தப்பட்ட நிகழ்ச்சிகளில்
குறிப்பிட்டுள்ள விதிமுறைகள் படி நிர்வாகிகள் பேனர்கள் வடிவமைக்க வேண்டும் 🌱👌

#AIADMK | #EPS | #AIADMKITWING | #ADMK_TVL | #DMKFailsTN | @EPSTamilNadu | @satyenaiadmk https://t.co/GpRfS4zzW1",Fri Feb 28 04:49:23 +0000 2025,1,11,AIADMK
