Tweet_count,Username,Text,Created At,Retweets,Likes
1,Akshay Kumar R 🔱 𝕏,"Vote for BJP and save Tamil Nadu from terrorism. 
#GetOutStalin #GetOutTVK https://t.co/xYgFFb78V5",Fri Feb 21 06:08:54 +0000 2025,9,45
2,youth challenges,"Tamil Nadu needs change.

BJP’s vision with Annamalai feels right for progress. Time to move forward. 
#GetOutStalin 
#GetOutStalin_2026 
#dhanashreeverma
#caraccident 
#IndvsBan
#தமிழ்_வாழ்க 
Canada
#4Nations https://t.co/LhuJhuSWOr",Fri Feb 21 04:49:23 +0000 2025,1383,2423
3,Ashish Singh,"BIG BREAKING 🚨 

Telangana CM Revanth orders Telugu is now Compulsory subject in school 🔥✊✊

Congress always respect regional language! Don't like BJP they Doing Tamil Nadu 

Congress means Good Governance 🔥 
https://t.co/krsBbOf8nM",Wed Feb 26 05:31:14 +0000 2025,727,5276
4,Amit Shah,"Inaugurated the Tamil Nadu BJP's district offices in Coimbatore, Tiruvannamalai, and Ramanathapuram.

These offices will become the nerve centres of the people's movement against the corrupt, anti-national, and atrocious rule of the DMK govt.

கோவை, திருவண்ணாமலை மற்றும் https://t.co/TMEGiP2D0s",Wed Feb 26 13:18:35 +0000 2025,1624,5300
5,Anusha Ravi Sood,"One of the most popular Tamil media house - Vikatan's -  website has been blocked after it ran this cartoon. 
The website is inaccessible following a complaint by BJP leaders in Tamil Nadu. @vikatan claims it has received no communication from Union govt yet but it's blocked https://t.co/HzfD2rsnHu",Sun Feb 16 03:52:11 +0000 2025,684,1855
6,CH.Sekar (சி.எச்.சேகர்),"Punishing Tamil Nadu for effective governance by cutting our seats? BJP's delimitation is a direct attack on our state's rights. 

#FairDelimitationForTN https://t.co/BHQkmKtP2P",Tue Feb 25 10:19:22 +0000 2025,87,102
7,BJP Tamilnadu,மும்மொழி என்றதும் 'இந்தி' திணிப்பு என்ற பொய்யை பரப்பும் @arivalayam கட்சித் தலைவர்களின் முகத்திரையை கிழிக்கும் அட்டவணை..! https://t.co/5Z9JpvxURo,Tue Feb 18 17:26:28 +0000 2025,301,602
8,Himanshu Bhatt,"We need a Regional Radical party
 in Uttarakhand 

Just like DMK in Tamil Nadu.

No nonsense of BJP and congress now!!",Thu Feb 27 14:24:33 +0000 2025,12,34
9,BJP Tamilnadu,"உலகளவில் ட்ரெண்ட்டான #GetOutStalin, வாயைக் கொடுத்து வாங்கிக் கட்டிக் கொண்ட @arivalayam அரசு!

#GetOutStalin https://t.co/69P8FfOrJ6",Fri Feb 21 09:26:35 +0000 2025,2008,5811
10,Muralidharan Gopal,"NO NEP, NO FUNDS?

Push Tamil Nadu too Hard, and India may Fracture.  

India has been a Federal State-Nation since Independence, not a Nation-State.  

Pity the BJP Pradhan’s pure Ignorance of our Constitution. https://t.co/4jqaioT889",Sat Feb 22 17:26:35 +0000 2025,139,183
11,Anil Cherukara I.N.D.I.A,"#GetOutStalin_2026

Sangh and RSS has only agenda to destroy Tamil Nadu

We must pack BJP from #TamilNadu 

#BJPMuktTamilNadu
#BJPMuktBharat https://t.co/D1m94gVZU6",Fri Feb 21 11:17:16 +0000 2025,2,3
12,BJP Tamilnadu,"நமது மத்திய உள்துறை அமைச்சர் திரு. அமித்ஷா அவர்களே வருக, வருக! 

#VanakkamAmitshah https://t.co/7jsGTNloC9",Tue Feb 25 12:36:23 +0000 2025,244,709
13,ANI,"Tamil Nadu | Actor-turned-politician Ranjana Nachiyaar resigns from the BJP's primary membership. She says, ""Three-language imposition is wrong."" https://t.co/62mtquUulW",Tue Feb 25 07:08:06 +0000 2025,705,4531
14,Pesu Tamizha Pesu,"தமிழக மீனவர்கள் 27 பேர் விடுவிப்பு!

#TamilNadu #Fishermen #TNFishermen #FishermenArrested #SriLankanNavy #SriLanka #Arrested #Modi #bjptamilnadu #pesutamizhapesu https://t.co/UUmfnOb54S",Fri Feb 28 05:45:07 +0000 2025,3,8
