Tweet_count,Username,Text,Created At,Retweets,Likes
1,Press Trust of India,"VIDEO | Here's what Congress leader Vijay Wadettiwar (@VijayWadettiwar) said on Tamil Nadu CM Stalin's remark on Hindi language:

""Hindi language in the national language. We see Hindi as the language of the country. Other regional languages should also be respected. CM Stalin https://t.co/Y2k8U1l6Yr",Fri Feb 28 06:06:19 +0000 2025,0,0
2,Anshuman Sail Nehru,"Breaking : INDIA alliance gets finalized in Tamil Nadu and Puducherry and Congress will contest 9 seats in Tamil Nadu and 1 seat of Puducherry.

INDIA alliance will win 40/40 seats in 2024 Lok Sabha elections. https://t.co/ndjMMrqcJF",Sat Mar 09 14:18:07 +0000 2024,682,3496
3,Ashish Singh,"BIG BREAKING 🚨 

Telangana CM Revanth orders Telugu is now Compulsory subject in school 🔥✊✊

Congress always respect regional language! Don't like BJP they Doing Tamil Nadu 

Congress means Good Governance 🔥 
https://t.co/krsBbOf8nM",Wed Feb 26 05:31:14 +0000 2025,727,5276
4,Tamil Nadu Congress Committee,"ஈரோடு கிழக்கு சட்டமன்ற முன்னாள் உறுப்பினரும்,  தமிழ்நாடு காங்கிரஸ் தகவல் தொழில்நுட்பம் மற்றும் சமுக ஊடகத்துறை முன்னாள் தலைவரும், தமிழ்நாடு காங்கிரஸ் முன்னாள் பொதுச் செயலாளருமான திரு. திருமகன் ஈ.வெ.ரா அவர்களின் பிறந்த நாளில் பெருமையுடன் நினைவுகூறுவோம்.

#Thirumahaneveraa https://t.co/s4oVBAF9vU",Fri Feb 28 01:59:11 +0000 2025,7,18
5,Mr Sinha,"-Gujarat holds the top spot for reducing the debt-to-GSDP ratio
-Punjab &amp; Tamil Nadu are at the bottom, having significantly increased it

Over the past 10 years:
-Gujarat has been ruled by BJP
-Punjab has been ruled by Congress and AAP
-Tamil Nadu has been ruled by DMK+Congress https://t.co/HWKxn7wuKh",Thu Feb 13 11:01:47 +0000 2025,261,1148
6,Congress Kerala,"Nobody explained the objective of National Education Policy any better. The Hindi push has a definite purpose. And Tamil Nadu is fighting it for the right reasons.

Thank you @VPIndia for making it clear! https://t.co/TQgL2aG6jK",Sat Feb 22 10:57:30 +0000 2025,1151,3443
7,Amock_,"BREAKING NEWS 🚨

Congress will change Assam PCC Chief 

Congress will change Himachal PCC Chief 

Congress will change Tamil Nadu PCC Chief 

Congress will change Haryana PCC Chief 

Congress will change Maharashtra PCC Chief 

INC is also set to replace atleast 6 AICC In https://t.co/H01bnGC42T",Wed Feb 12 09:42:58 +0000 2025,297,1564
8,AII INDIA THIRUNAMOOL CONGRESS TAMIL NADU,Tàmil Nadu https://t.co/smtLjZl0Ua,Wed Feb 19 05:24:28 +0000 2025,0,0
9,AII INDIA THIRUNAMOOL CONGRESS TAMIL NADU,Tàmil Nadu https://t.co/O1ARlMYWDk,Wed Feb 19 05:24:59 +0000 2025,0,0
10,AII INDIA THIRUNAMOOL CONGRESS TAMIL NADU,AITC TAMIL NADU https://t.co/M0plI5E9fH,Tue Feb 11 09:42:35 +0000 2025,0,0
11,Himanshu Bhatt,"We need a Regional Radical party
 in Uttarakhand 

Just like DMK in Tamil Nadu.

No nonsense of BJP and congress now!!",Thu Feb 27 14:24:33 +0000 2025,12,34
12,Tamil Nadu Congress Committee,Shame!!! https://t.co/AZskwxYNF7,Mon Feb 17 09:17:58 +0000 2025,48,79
13,Surbhi,"BREAKING 🚨🚨

Seat sharing between DMK and congress is finalised .

Congress will contest on 9 seats in Tamil Nadu and 1 seat in Puducherry.

We will win all 40 seats of Tamil Nadu .

 KC Venugopal 🔥 https://t.co/nhbVpZH45f",Sat Mar 09 14:14:24 +0000 2024,310,1620
14,Tamil Nadu Congress Committee,We Are Fighting For The Idea Of India ✊ https://t.co/3AZZnGiYJw,Tue Feb 18 07:14:18 +0000 2025,68,125
15,Kanimozhi (கனிமொழி),"Today, I presented the book ""Antiquity of Iron: Recent Radiometric Dates from Tamil Nadu"" and a letter from our Hon’ble CM Thiru @mkstalin to the Leader of Opposition &amp; Congress leader Thiru @RahulGandhi.

மக்களவை எதிர்க்கட்சித் தலைவர் மற்றும் காங்கிரஸ் தலைவருமான திரு https://t.co/PJc3YaCypc",Thu Feb 06 12:40:53 +0000 2025,670,3024
16,Tamil Nadu Congress Committee,Survival Mode: 100 Crore Indians Struggle to Make Ends Meet https://t.co/x6DscVgyCV,Thu Feb 27 05:14:31 +0000 2025,12,17
17,Political Views,"Everyone is aware of the hatred being spread against Hindi by Tamil Nadu politicians.

Since Congress came to power in Karnataka, there have been targeted attacks on Hindi.

Meanwhile, Telugu has found a place in the signboards of Prayagraj, Varanasi, &amp; Ayodhya in Uttar Pradesh. https://t.co/GTzCyP0pNj",Thu Feb 27 06:26:47 +0000 2025,10,56
18,Tamil Nadu Congress Committee,https://t.co/FmJONZU43M,Sun Feb 16 14:08:51 +0000 2025,7,14
19,Tamil Nadu Congress Sevadal,BJP's post-truth factory https://t.co/eMSIWUnkLo,Fri Feb 21 12:41:51 +0000 2025,1,2
20,Sahil Sharma,"SEE TOP 7 AND BOTTOM 7 STATES

Orissa : BJP
Chattisgarh: BJP
Goa : BJP
Jharkhand: Congress
Gujarat: BJP
Maharashtra: BJP
Uttar Pradesh: BJP
Telengana: Congress
Madhya Pradesh: BJP
KARNATAKA: congress
Tamil Nadu: DMK
Rajasthan: BJP
Bihar: BJP
Haryana: BJP
Kerala: left/congress https://t.co/ftsFycMoI8",Sat Jan 25 17:31:40 +0000 2025,6,21
