Tweet_count,Username,Text,Created At,Retweets,Likes
1,Let's X OTT GLOBAL,#TVKForTN 🔃                                     DMK ❤️ https://t.co/Aj86TnA9SQ,Fri Feb 21 12:28:24 +0000 2025,4502,2960
2,Dr Adina Priscilla ♠️❤️,"North Indians Hate These Two States..
But Rest Of The World Loves A Lot 💝 https://t.co/DdVTBATxAE",Thu Feb 27 06:31:36 +0000 2025,760,6123
3,R.Rajiv Gandhi ✨,பேரன்பு✨✨ https://t.co/ezFAcAzBm4,Sat Feb 22 08:56:53 +0000 2025,379,1984
4,Tamil Ka.Amutharasan,மாண்புமிகு #CMMKStalin 🔥🔥🔥 https://t.co/inLg5GWuZA,Fri Feb 21 14:14:08 +0000 2025,169,553
5,DMK,"இந்திய ஒன்றியத்தின் பன்முகத் தன்மையையும் மொழிவழிப் பண்பாடுகளையும் குலைப்பவர்கள் தான் உண்மையான தேசவிரோதிகள்!

- கழகத் தலைவர், மாண்புமிகு முதலமைச்சர் திரு @mkstalin அவர்கள்

#தமிழ்_வாழ்க https://t.co/FALwSxhvEK",Fri Feb 28 06:00:51 +0000 2025,7,12
6,DMK IT WING,"Must Watch:

#GetOutModi ft AADU 🐐 😁 https://t.co/zLROIqlNbI",Thu Feb 20 08:00:03 +0000 2025,2047,4414
7,DMK,"Arrest Adam Schiff!
That's the post. https://t.co/m6RUyTBGft",Sat Feb 22 17:45:09 +0000 2025,408,1683
8,DMK IT WING,Worldwide Trending No:1  #GetOutModi 😂🔥 https://t.co/AntLpHlRdI,Thu Feb 20 07:50:57 +0000 2025,1221,2265
9,Gayathri Raguramm - Say No To Drugs & DMK,#Welcomeஎடப்பாடியார் #EPS4TN https://t.co/uQ6cdYvtjV,Fri Feb 21 08:02:01 +0000 2025,101,350
10,DMK IT WING,"தமிழ்நாடே சொல்லுது  
#GetOutModi  💪❤️‍🔥 https://t.co/Dv4eNGnblJ",Thu Feb 20 14:15:57 +0000 2025,1405,2952
11,DMK NRI Wing,"ஜி right now! 🤗🤗🤗

#GetOutModi https://t.co/sCCT0Ix1bv",Thu Feb 20 07:57:08 +0000 2025,581,633
12,DMK IT WING,"எத்தனை காலங்கள் மாறினாலும் அதற்கு ஈடுகொடுத்து நிற்கும் செம்மொழியாம் தமிழ் மீது இந்தி-சமஸ்கிருத ஆதிக்கத்திற்கு இடம் கொடுக்க மாட்டோம். உயிரைக் கொடுத்தேனும் தமிழைக் காப்போம்!

- கழகத் தலைவர், மாண்புமிகு முதலமைச்சர் திரு @mkstalin அவர்கள்

#தமிழ்_வாழ்க https://t.co/3ttJqtKs53",Fri Feb 28 05:49:56 +0000 2025,18,24
13,R.Rajiv Gandhi ✨,#GetOutModi https://t.co/wx6d3dCXxm,Thu Feb 20 12:28:29 +0000 2025,298,514
14,DMK Updates,Our People's selfies with Dy CM @Udhaystalin 🤳💗 https://t.co/hi1th84ttl,Sun Feb 23 14:20:58 +0000 2025,245,1205
15,DMK,"மக்களவைத் தொகுதி மறு சீரமைப்பு என்றால் என்ன என்பதை சற்று விளக்கமாக காண்போம்!

ஒன்றிய அரசின் அறிவுரையை ஏற்று மக்கள்தொகை கட்டுப்பாட்டை சிறப்பாக கடைபிடித்த தமிழ்நாட்டின் பிரதிநிதித்துவம் குறைக்கப்படுவதை நாம் ஏற்க முடியுமா?

#FairDelimitationForTN https://t.co/1Zht3cmPiU",Thu Feb 27 12:00:01 +0000 2025,830,1105
