Tweet_count,Username,Text,Created At,Retweets,Likes
1,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மொழிக்காக உயிரையே விட்டவர்கள் தமிழர்கள்!

மக்கள் நீதி மய்யம் 8-ம் ஆண்டு தொடக்க விழாவில் தலைவர் திரு. @ikamalhaasan  அவர்கள் ஆவேசம்!

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/WDDuTZABKJ",Tue Feb 25 12:42:40 +0000 2025,74,157
2,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"கோவையில் மக்கள் நீதி மய்யம் 8-ம் ஆண்டு தொடக்க விழா, புதிய அலுவலகம் திறப்பு, கட்சிக் கொடியேற்று விழா!

மக்கள் நீதி மய்யம் தலைவர் திரு. @ikamalhaasan அவர்களது வழிகாட்டுதலின்படி, கோவை வடக்கு மநீம மாவட்டம் சார்பில் கட்சியின் 8-ம் ஆண்டு தொடக்க விழா, புதிய அலுவலகம் திறப்பு மற்றும் https://t.co/q5DLVolQuk",Mon Feb 24 11:28:56 +0000 2025,77,152
3,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் கட்சியின் 8-ம் ஆண்டு தொடக்க விழாவில்கட்சிக் கொடியேற்றி, உரையாற்றினார் தலைவர் திரு. @ikamalhaasan அவர்கள்.

மக்கள் நீதி மய்யம் கட்சியின் 8-ம் ஆண்டு தொடக்க விழாவையொட்டி, சென்னையில் அமைந்துள்ள கட்சியின் தலைமை அலுவலகத்தில் கட்சிக் கொடியேற்றிவைத்து, தொண்டர்களிடையே https://t.co/HmjTZlkXYG",Fri Feb 21 14:47:58 +0000 2025,158,365
4,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யத்தின் 8ஆம் ஆண்டு தொடக்க விழாவை முன்னிட்டு, சமூக வலைதளங்களில் கீழ்கண்ட Hashtags-களை பயன்படுத்துமாறு கேட்டுக்கொள்கிறோம்.

#KamalHaasan
#MakkalNeedhiMaiam 
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/LTdEJB1PQF",Thu Feb 20 14:02:18 +0000 2025,148,369
5,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யத்தில் மாணவர்கள்
இணைந்து கொண்டிருப்பதால் நாளை நமதே!

8-ம் ஆண்டு தொடக்க விழாவில் தலைவர் திரு. @ikamalhaasan அவர்கள் உறுதி!

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/URx1A5JaO2",Tue Feb 25 15:00:00 +0000 2025,91,181
6,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"எட்டாம் ஆண்டில் மக்கள் நீதி மய்யம்!
பிப்ரவரி 21,  வெள்ளிக்கிழமை  மாலை 3 மணிக்கு கட்சித் தலைமை அலுவலகத்தில், நம் தலைவர் திரு. @ikamalhaasan அவர்கள், மக்கள் நீதி மய்யம் கட்சிக் கொடியேற்றி பேருரை ஆற்றுகிறார்!

#KamalHaasan 
#MakkalNeedhiMaiam 
#8ம்ஆண்டில்_மய்யம் https://t.co/PYWGxL1APN",Sun Feb 16 08:13:53 +0000 2025,160,274
7,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் கட்சியின் ஊடகம் மற்றும் செய்தித் தொடர்பு மாநிலச் செயலாளர் திரு. முரளி அப்பாஸ் அவர்கள் தந்தி தொலைக்காட்சிக்கு அளித்த பேட்டி!

இதில் கட்சியின் 8-ம் ஆண்டு தொடக்க விழா, எதிர்காலத் திட்டங்கள், 2026 சட்டப்பேரவைத் தேர்தல் வியூகம், மக்கள் நீதி மய்யத்தின் https://t.co/LdfZQ2V1zq",Mon Feb 17 18:04:16 +0000 2025,91,183
8,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"விகடன் இணையதளம் முடக்கம் கருத்துரிமைக்கு எதிரான செயல். மக்கள் நீதி மய்யம் தலைவர் திரு. @ikamalhaasan அவர்கள் கடும் கண்டனம்.

#KamalHaasan 
#MakkalNeedhiMaiam https://t.co/NZq23rnA3S",Sun Feb 16 17:09:27 +0000 2025,97,184
9,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் கோவை மண்டல சமூக ஊடக அணி நிர்வாகிகள், கட்சியின் துணைத் தலைவர் திரு. R. @Thangavelukovai அவர்களை சந்தித்து, கட்சி வளர்ச்சி மற்றும் அடுத்தக்கட்ட திட்டங்கள் குறித்து கலந்தாலோசித்தனர்.

இச்சந்திப்பில், சமூக ஊடக அணி கோவை மண்டல அமைப்பாளர் திரு. @ThajTK, மொடக்குறிச்சி https://t.co/jx1u6vNYxI",Wed Feb 19 14:20:48 +0000 2025,94,177
10,Vignesh,"இந்த வருடம் நமது குரல் பாராளுமன்றத்தில் ஒழிக்கப் போகிறது 🔥

#Makkalneedhimaiam
#MNM8THYEAR 
#KamalHaasan https://t.co/5b63B9GgEI",Sun Feb 23 04:19:04 +0000 2025,14,41
11,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் கட்சியின் தலைவர் திரு. @ikamalhaasan அவர்களை, இந்து சமய அறநிலையத்துறை அமைச்சர் திரு. @PKSekarbabu அவர்கள் மரியாதை நிமித்தமாகச் சந்தித்து உரையாடினார். 

தலைவரின் அலுவலகத்தில் நடந்த இந்தச் சந்திப்பின்போது, கட்சியின் பொதுச்செயலாளர் திரு. @Arunachalam_Adv அவர்கள் https://t.co/ni4Ne3hqFb",Wed Feb 12 03:30:00 +0000 2025,266,866
12,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"நம்மவர் தொழிற்சங்கப் பேரவை நிர்வாகிகள் ஆலோசனைக் கூட்டம்

நம்மவர் தொழிற்சங்கப் பேரவை நிர்வாகிகள் ஆலோசனைக் கூட்டம் மற்றும் அமைப்புசாரா தொழிலாளர் சங்கத்தை, நம்மவர் தொழிற்சங்கப் பேரவையில் இணைப்பது தொடர்பான ஆலோசனைக் கூட்டம் சென்னை கதிர்வேடு பகுதியில் நடைபெற்றது.

இக்கூட்டத்திற்கு https://t.co/odWlrO6JJ6",Mon Feb 24 09:36:38 +0000 2025,68,126
13,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"வாய்க்கால் சீரமைப்பு, கழிவுநீர் மற்றும் குப்பைகளை அகற்றக் கோரி அதிகாரிகளிடம் மனு வழங்கிய மக்கள் நீதி மய்யம் கட்சியினர்.

மதுரை மாடக்குளம் கண்மாயில் இருந்து முத்துப்பட்டி கண்மாய்க்குச் செல்லும் வரத்து வாய்க்கால்களில் தேங்கியிருக்கும் கழிவுநீர் மற்றும் குப்பைகளையும் அகற்றி, https://t.co/72e1ty3y9k",Wed Feb 19 11:07:53 +0000 2025,75,146
