Tweet_count,Username,Text,Created At,Retweets,Likes
1,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"#கிருஷ்ணகிரி மாவட்டக் கலந்தாய்வு கூட்டம் - 2025!

கட்சியின் உள்கட்டமைப்பை மறுசீராய்வு செய்து புதிய பொறுப்பாளர்களை தேர்வு செய்து அறிவிப்பதற்காக நாம் தமிழர் கட்சியின் தலைமை ஒருங்கிணைப்பாளர்  செந்தமிழன் #சீமான் அவர்களின் தலைமையில்  27-02-2025 அன்று, ஒசூர் சூடப்பா கல்யாண மண்டபத்தில் https://t.co/SIdZXUPRa6",Fri Feb 28 02:54:15 +0000 2025,106,205
2,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"விடுதலை சிறுத்தைகள் கட்சியின் தூத்துக்குடி தெற்கு மாவட்டச் செயலாளர் தங்கை டிலைட்டா ரவி அவர்களை பெண் என்றும் பாராமல் திமுக அரசின் காவல்துறை கண்மூடித்தனமாக கடுமையாகத் தாக்கியுள்ளது வன்மையான கண்டனத்துக்குரியது.

கள்ளச்சாரயம் விற்பவர்களை, கஞ்சா கடத்துபவர்களை,   பள்ளிக்குழந்தைகள் https://t.co/Gjduqgu6Lg",Wed Feb 12 09:43:51 +0000 2025,160,233
3,கெங்கவல்லி சட்டமன்ற தொகுதி,"கண்டிக்கிறோம் கண்டிக்கிறோம் தமிழக  #காவல் துறையை கண்டிக்கிறோம். 
#திமுக_ஏவல்துறை_அராஜகம்
#காவல்துறைஅராஜகம்ஒழிக
#நாம்_தமிழர்_கட்சி #naamtamilarkatchi #ntk #நாதக #சீமான் https://t.co/BeBa1n4UOf",Fri Feb 28 01:18:01 +0000 2025,6,11
4,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"#NEPLanguageRow 

Pass Resolution: ""No Fund, No Tax” Unless the Indian Union Govt Releases Fund for TN School Children!

The arrogant speech of Indian Union Education Minister Dharmendra Pradhan that the Rs. 2152 crores fund allocated for the development of #TamilNadu can be https://t.co/GdLlgYr73A",Mon Feb 17 12:14:16 +0000 2025,185,315
5,Ambassador,"Kaliyammal stated she fought beyond her limits for six years for social change. Expressing regret, she said time’s course led her to end this journey with Naam Tamilar Katchi. https://t.co/GBRaWJz4By",Tue Feb 25 01:02:30 +0000 2025,0,0
6,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"கல்லூரிகளில் இருபது ஆண்டுகளுக்கும் மேலாகப் பணிபுரிந்து வரும் கௌரவ விரிவுரையாளர்களைப் பணிநிரந்தரம் செய்ய வேண்டும்! - சீமான் வலியுறுத்தல்

தமிழ்நாட்டிலுள்ள அரசு மற்றும் கலை அறிவியல் கல்லூரிகளில் இருபது ஆண்டுகளுக்கும் மேலாகப் பணியாற்றி வரும் 7300க்கும் மேலான கௌர விரிவுரையாளர்கள் https://t.co/rczY2lmPTh",Mon Feb 10 07:50:39 +0000 2025,109,171
7,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"தலைநிலக் குறிஞ்சி தந்த தலைவன்,
தமிழ் இறைவன் எங்கள் முப்பாட்டன்
திருமுருகப்பெருமான் திருப்புகழ் போற்றுவோம்!

வேல் வேல் வீரவேல்! 
வேல் வேல் வெற்றிவேல்! 

தலைநிலக் குறிஞ்சி தந்த தலைவன், தமிழ் இறைவன், எங்கள் முப்பாட்டன் திருமுருகப்பெருமானின் திருப்புகழ் போற்றும் தைப்பூசத்தை https://t.co/xJKx6rQcpe",Mon Feb 10 06:42:54 +0000 2025,105,206
8,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"திருப்பூர் மாவட்டத்தில் கால்நடைகளை தாக்கி கொல்கின்ற வெறிநாய்களை விரைந்து அப்புறப்படுத்த தமிழ்நாடு அரசு நடவடிக்கை எடுக்க வேண்டும்! - சீமான் வலியுறுத்தல் 

@CMOTamilnadu | @mkstalin 

திருப்பூர் மாவட்டம் காங்கேயம், தாராபுரம் மற்றும் அதன் சுற்றுவட்டாரப் பகுதிகளில் அதிகளவில் https://t.co/34MdW2FsYd",Tue Feb 18 04:50:35 +0000 2025,144,224
9,Chennai Live Digital 104.8,A gun-wielding Naam Tamilar Katchi (NTK) functionary was detained by the Neelankarai police on Thursday for threatening a police team that had gone to Seeman's house to paste a summons copy. #news https://t.co/lEGaR7WN6i,Thu Feb 27 14:21:08 +0000 2025,0,0
10,சுரேஷ்,"Naam Tamilar Katchi is the only party that promotes uncompromising politics with a better future.
I will proudly say that we are Tamilan😍",Sun Feb 09 04:59:54 +0000 2025,0,0
11,DEVI_TVK_IT_WING🔥,"நேற்று : நான் ஆஜர் ஆக முடியாது என்ன பண்ணுவ என்றார்... 

இன்று : மாலை ஆஜர் ஆகிறார்...

காவல்துறைக்கு அடி பணிந்த சீமான்
பயந்துட்டான் போல 🤣🤣 @Seeman4TN

#seeman #NaamTamilarKatchi https://t.co/rc4S3A1NxX",Fri Feb 28 04:26:44 +0000 2025,2,4
12,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"எங்களின் உயிரோடும் உணர்வோடும் கலந்து வாழ்கின்ற அன்பு உறவுகள் அனைவருக்கும் வணக்கம்!

நம்முடைய போற்றுதற்கும், வணக்கத்திற்கும் உரிய 'புனிதப் போராளி' அண்ணன் #பழனிபாபா
பெரும்புகழ்ப் போற்றும் மாபெரும் பொதுக்கூட்டம்!

நாள்:
கும்பம் (மாசி) 10 | 22-02-2025, நாளை மாலை 04 மணிக்கு 

இடம்: https://t.co/imqMWZTjfw",Fri Feb 21 04:51:10 +0000 2025,142,242
13,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"வேலூர் மாவட்ட கலந்தாய்வுக் கூட்டம் - 2025!

கட்சியின் உள்கட்டமைப்பை மறுசீராய்வு செய்து புதிய பொறுப்பாளர்களை தேர்வு செய்து அறிவிப்பதற்காக நாம் தமிழர் கட்சியின் தலைமை ஒருங்கிணைப்பாளர் செந்தமிழன் சீமான் அவர்களின் தலைமையில், 26-02-2025 அன்று காலை, காட்பாடி, காந்தி நகர், ஆதிலட்சுமி https://t.co/aScPz0mlXF",Wed Feb 26 10:22:51 +0000 2025,107,192
14,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"அறிவிப்பு:

தலைமை ஒருங்கிணைப்பாளர் செந்தமிழன் #சீமான் அவர்களின் மாவட்டக் கட்டமைப்பு வலிமைப்படுத்துதல் பயணம்!

கட்சியின் உள்கட்டமைப்பை மறுசீராய்வு செய்து, புதியப் பொறுப்பாளர்களைத் தேர்வு செய்வதற்காக, தலைமை ஒருங்கிணைப்பாளர் செந்தமிழன் சீமான் அவர்கள் தமிழ்நாடு முழுவதும் https://t.co/YjuQQLolld",Mon Feb 24 13:38:48 +0000 2025,180,345
15,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"""தமிழ்நாட்டு பள்ளிக் குழந்தைகளுக்கு உரிய நிதியைத் தராவிட்டால் வரி செலுத்த முடியாது"" என்பதை வலியுறுத்தி தமிழ்நாடு அரசு தீர்மானம் நிறைவேற்ற வேண்டும்!  – சீமான் வலியுறுத்தல் 

தமிழ்நாடு அரசு புதிய தேசியக் கல்விக் கொள்கையை ஏற்றால்தான் தமிழ்நாட்டின் கல்வி வளர்ச்சிக்குத் தரவேண்டிய https://t.co/uaaQC682eF",Mon Feb 17 09:36:26 +0000 2025,125,195
16,Telangana Bolo Re,"Seeman house guard arrested for attacking police - causing a stir as he threatened police with a gun!

Seeman is an Indian politician, actor and former filmmaker. He is the leader of the Naam Tamilar Katchi political party in Tamil Nadu
#Seeman #TamilNadu #PoliceAttacked #news https://t.co/eHuHBpnxIV",Thu Feb 27 12:54:28 +0000 2025,0,1
17,R SIVARAMAN,Police arrested the security guard of Naam Tamilar Katchi leader #Seeman's house in Neelankarai following tearing a summon pasted on front door. @THChennai https://t.co/YYWgfaAyOQ,Thu Feb 27 12:36:35 +0000 2025,4,9
18,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"பல்லடம் மூவர் கொலை வழக்கில் செய்யாத குற்றத்தை ஒப்புக்கொள்ளச் சொல்லி பழங்குடியின மக்களை மிரட்டுவதற்கு பெயர்தான் திராவிட மாடலா? - சீமான் கடும் கண்டனம் 

@CMOTamilnadu | @mkstalin 

திருப்பூர் மாவட்டம், பல்லடம் அருகே உள்ள சேமலைக் கவுண்டன்பாளையத்தில், கடந்த ஆண்டு  நவம்பர் மாதம் ஒரே https://t.co/I98k8Jmdu3",Fri Feb 21 04:29:29 +0000 2025,121,162
19,நாம் தமிழர் கட்சி | Naam Tamilar Katchi,"அடுத்தடுத்து சமூக ஆர்வலர்கள் படுகொலைகள் செய்யப்படும் பேரவலம்; திமுக ஆட்சியில் முற்றாகச் சீரழிந்துள்ள சட்டம்-ஒழுங்கு; சமூக விரோதிகளின் கூடாரமான தமிழ்நாடு!  - சீமான் கடும் கண்டனம் 

@CMOTamilnadu | @mkstalin 

மயிலாடுதுறை மாவட்டம், முட்டம் கிராமத்தில் கள்ளத்தனமாகச் சாராயம் https://t.co/xONtHo5Zx6",Sat Feb 15 09:27:12 +0000 2025,105,125
