Tweet_count,Username,Text,Created At,Retweets,Likes
1,Pokkiri_Victor,"1 RETWEET = 1 Vote For #TVK 🔥

 #TVKForTN https://t.co/WOZo2gGrN6",Fri Feb 21 09:03:08 +0000 2025,3199,4183
2,TVK Vijay Trends,Cutest Video in internet Today 😍❤️ https://t.co/YMjUipbnCy,Wed Feb 26 07:22:45 +0000 2025,985,5389
3,தமிழக வெற்றிக் கழகம் (செய்திகள்),#TVKForTN 2026 for TVK https://t.co/ynLbcttcTZ,Fri Feb 21 05:39:56 +0000 2025,2157,4247
4,Prakash,#TVK 😂 https://t.co/Ebn8dwlAuT,Mon Aug 19 12:31:38 +0000 2024,58,160
5,Surendar TVK 🔥,"There should be a case study on how a person be so cool &amp; relax all the time

Not getting irritated or Anger on some actions. https://t.co/2PYc2JFsJL",Wed Feb 26 13:52:09 +0000 2025,146,519
6,Mᴜʜɪʟツ𝕏,"Kaliammal Started Following 
@TVKVijayHQ💛♥

Welcome to TVK🔥

#TheGreatestOfAllTime
 #JanaNayagan @actorvijay https://t.co/QoKa5PeL2M",Mon Feb 24 11:28:58 +0000 2025,454,1851
7,தமிழக வெற்றிக் கழகம் (செய்திகள்),https://t.co/4vwHuSFh6b,Thu Feb 27 06:13:02 +0000 2025,267,3103
8,Dinakaran,"`அரசியல் முடிவு அவரது தனிப்பட்ட விருப்பம்; அதில் குடும்பத்துக்கு தொடர்பு இல்லை' -ஆதவ் அர்ஜூனா மனைவி  

 #AadhavArjuna #TVK #DinakaranNews https://t.co/gp2FnuVfK7",Fri Feb 28 03:33:00 +0000 2025,0,7
9,TVK Party Updates,"நம் கழகத் தலைவர் அவர்களின் ஆணைப்படி, நமது வெற்றிக் கொள்கைத் திருவிழாவிற்கான பூர்வாங்கப் பணிகள் ஏற்கெனவே தொடங்கி நடைபெற்று வரும் நிலையில், மாநாட்டுத் திடலில் மாநாட்டு மேடை மற்றும் பந்தல் அமைக்கும் பணிகளுக்கான கால்கோள் விழா இன்று (04.10.2024) அதிகாலை தலைமைக் கழக நிர்வாகிகள் மற்றும் https://t.co/yMVZ6YA16J",Fri Oct 04 07:36:30 +0000 2024,1902,7996
10,ʲᵈᴀʟᴇxᴀɴᴅᴇʀᵗʷᵉᵉᵗˢ,"Converted into TVK !
 https://t.co/9eqFHMS8jh",Sun Feb 23 13:25:06 +0000 2025,304,1220
11,999,#TVKVijay‌ #TVK https://t.co/ZhlSxT74eO,Wed Feb 26 08:03:15 +0000 2025,313,2008
12,சமூகநீதி🏴🚩,"A new leader is emerging for this society and it should not be an actor - Actor Joe Malloori... ! 💯

இந்த சமூகத்திற்கு ஒரு புதிய தலைவன் உருவாகிறான் என்றால் அது நடிகனாக இருக்க கூடாது - நடிகர் ஜோ மல்லூரி... !

#TVK #TVKVijay #Vijay   #TamilagaVettriKazhagam  #TVKFirstAnniversary https://t.co/zZJf2lkfP0",Wed Feb 26 01:46:49 +0000 2025,459,1521
13,TVK Vijay Trends,Full Speech of @TVKVijayHQ ✊🔥 https://t.co/AVWehzTAk5,Wed Feb 26 07:34:43 +0000 2025,2429,8443
14,𝗩𝗧𝗠ᵀⱽᴷ,Can I get 100 #TVKForTN Tag comments ☺️ https://t.co/LfKkXvTDSv,Fri Feb 21 06:02:08 +0000 2025,902,1122
