Tweet_count,Username,Text,Created At,Retweets,Likes
1,Pradeep kumar,"Tamil Nadu #TVK party will be Highly reduce the DMK+ AIADMK vote share Percentages in 2026 elections..💯

Sure 2026 Is Ours..🔥🏆

#தமிழகவெற்றிக்கழகம்‌ #TVKVijay https://t.co/UmbNqgS7C1",Mon Feb 10 10:26:18 +0000 2025,348,1978
2,SS Iyengar 🇮🇳,"when the TN BJP party lead elections are happening, my take on how the 2026 electoral politics would evolve. I firmly believe ADMK will not align with BJP in 2026 to be favored by D eco system. My write up as an image instead of a multiple message thread. https://t.co/4o1axzATJU",Fri Jan 17 14:21:05 +0000 2025,52,253
3,Prashanth Kini,"Upcoming Tamil Nadu Assembly Elections DMK will regain the Power....
DMK vote share and seats reduce drastically.....
BJP will be the big gainer.....
AIADMK is the big loser.....
ANNAMALAI will become opposition leader...✅️",Mon Feb 10 12:26:09 +0000 2025,134,1395
4,George 🍿🎥,"#ThalapathyVijay will be a formidable player in the Tamil Nadu 2026 assembly elections, as #TVK is set to break the monopoly. 🔥 https://t.co/bC4ViH55Qo",Thu Feb 13 04:26:09 +0000 2025,450,2257
5,Devanayagam,"Tamil Nadu Elections 2026: 

Thalaivar Vijay vs Stalin vs Others https://t.co/ewMektiRs2",Sun Feb 09 14:21:29 +0000 2025,7,18
6,Prashanth Kini,"My prediction about Tamil Nadu Vidhan Sabha elections in 2026,
DMK going to win the election,
M K Stalin again become CM,
DMK seats and vote share come down,
AIDMK going to collapse,
BJP's seats and vote share increase,
Annamalai become opposition leader🙏",Fri Dec 08 03:59:19 +0000 2023,62,623
7,Filmfare,"As per reports on a leading news portal, #ThalapathyVijay has been granted Y-level security with an entourage in Tamil Nadu as he sets his gaze on the 2026 Assembly Elections.🗞️

#News https://t.co/9t92iqOFKF",Sat Feb 15 09:27:21 +0000 2025,583,2749
8,Vetri Vel Mahesh.... 🪷🪷🪷😍,Shri Annamalai of BJP will rule Tamilnadu from 2026 https://t.co/h1KkMKWjSt,Fri Nov 27 16:02:48 +0000 2020,33,601
9,Pagan Advocate,If going by current patterns BJP led NDA can have a terrific performance in 2028/2029 elections in Tamil Nadu. However 2026 is not BJP’s election in TN.,Tue Feb 11 06:57:17 +0000 2025,25,131
10,Vasanth Lakshman,"With or without PK, with or without any alliance partner, with or without the support of main stream media no one can stop @AIADMKOfficial and @EPSTamilNadu winning the 2026 TN elections. 

EPS will be the next Chief Minister of Tamil Nadu.

Mark this tweet if you have a doubt. https://t.co/5FV3EWsHx6",Tue Feb 11 08:50:50 +0000 2025,44,271
11,Political Views,"🚨Actor Vijay said that the BJP is his ideological rival and the DMK is political rival.

Today, even the new party formed by Vijay cannot ignore BJP in Tamil Nadu🔥

By opposing the ideology of BJP, Vijay is eyeing the minority vote bank of DMK in 2026 Tamil Nadu Elections. https://t.co/Ek0mY2Tn1t",Sun Oct 27 16:22:28 +0000 2024,64,498
12,Political Views,"🚨 After Tamil actor Vijay's statement on CAA, it has become completely clear that his party Tamilaga Vettri Kazhagam will also go for the same vote bank as DMK and AIADMK.

This means that there will be a fight of Annamalai vs ALL in the 2026 Tamil Nadu Assembly elections🔥 https://t.co/DqOT59ueRc",Tue Mar 12 10:03:01 +0000 2024,77,506
13,Vasanth Lakshman,"Ground reality, people are telling their issues to @EPSTamilNadu 

Generally it’s told the CM, but they all now know who the real people’s leader is. 

Whether you agree or not, this is the reality. 

2026 we will see EPS as the Chief Minister of Tamil Nadu. https://t.co/um0lUxqJVd",Fri Feb 07 17:16:47 +0000 2025,82,353
14,Vasanth Lakshman,"There is a narrative that is being set, that without alliance @AIADMKOfficial will not be able to win the 2026 TN assembly elections. 

That’s not true, ADMK will anyways win the 2026 elections. People are eagerly waiting to elect ADMK and @EPSTamilNadu back to power. 

Agree??? https://t.co/pTEOyiLhJc",Sun Feb 09 13:40:39 +0000 2025,46,234
15,Vetri Vel Mahesh.... 🪷🪷🪷😍,"My prediction in Tamilnadu after  candidate list...

DMK 23%
INC 8%
Others 8%
DMK + 39% and 24 Seats

BJP 21%
PMK 7%
Others 5%
BJP + 33% and 15 Seats

ADMK 16%
DMDK 2.5%
Others 0.5%
ADMK + 19% and 0 seats

NTK 6% and 0 Seats

Others 3%

Pudhucherry..
BJP 1 (51%)
INC 0(39%) https://t.co/t8Ye0uCX9z",Fri Mar 22 15:25:37 +0000 2024,185,735
16,Political Views,"📍If BJP and ADMK form an alliance for the 2026 Tamil Nadu election (which is unlikely), BJP can contest 60-75 seats out of 234.

In 2019 LS elections, BJP had 3.6% vote share and got 20 seats to contest in 2021 TN elections.

BJP got 11.2% vote share in the 2024 LS election⚡️⚡️ https://t.co/ayquIOOY8e",Sun Jan 05 16:27:27 +0000 2025,28,278
17,News Arena India,"BREAKING NEWS

BJP might officially declare K Annamalai as its CM candidate for 2026 Tamil Nadu Assembly elections. https://t.co/D0JkNyQeH0",Sun Oct 01 13:40:12 +0000 2023,1835,19192
18,Edwin Shares®️,"Tamil Nadu elections 2026: #TVK Vs #DMK 🔥

#TVKForTN #TVKfor2026 
#தமிழகவெற்றிக்கழகம் https://t.co/HIZu3z9lNX",Fri Feb 21 19:45:47 +0000 2025,3,31
19,Savukku Rocks,"The Man is awaiting for 2026 elections general elections to save Tamil Nadu.

#Admkforever https://t.co/v4HyjQnH6H",Tue Jan 07 06:53:24 +0000 2025,49,275
20,HarunKanth,"Vijay's game plan for the 2026 Tamil Nadu elections is all about shaking things up! He’s launched his party, Thamizhaga Vetri Kazhagam (TVK), with the Vaagai flower symbol for victory and two tuskers on a maroon and yellow flag – bold and classic Tamil pride vibes, no doubt 🌸🐘. https://t.co/PAt5QlJenA",Sun Oct 27 07:09:36 +0000 2024,7,60
21,Prathosh,"Shri krishna blessing. 
Annamalai horoscope and Tamil nadu Election 2026 . 
EPS another side. 
DMK PMK and New Entry Vijay. Few more Surprise shortly post US 2024 elections. 
Hare krishna blessing. 
Thanks for patience. https://t.co/faTF8XFVm8",Wed Aug 28 07:53:17 +0000 2024,18,234
22,Thinakaran Rajamani,"#Nanguneri Caste Atrocity: State government used Justice K Chandru's one-man committees as tools to assuage public anger? Is the 2026 Tamil Nadu assembly election the key factor preventing govt. from implementing recommendations?
Justice Chandru: The government doesn't want to https://t.co/NLDh1uoz4m",Sun Feb 23 13:01:50 +0000 2025,27,49
23,The Random Guy,"@TimesAlgebraIND We will give a befitting reply to DMK in the 2026 assembly elections

— K. Annamalai, President, BJP Tamil Nadu

https://t.co/weluoKU5QP",Wed Feb 26 11:26:06 +0000 2025,0,6
24,📈🛡️ HUNTER 🔰📉,"Get Ready Thalapathy Nations he will comeback cinema after election, to rule tamil nadu
He will continue the success in Cinema &amp; Politics after 2026 

Just Wait &amp; Watch it brother ❤️,🔥 https://t.co/5gpxQxdxrK",Wed Feb 26 09:57:22 +0000 2025,3,10
25,Pagan Advocate,"2026-2027 will be an important phase of elections cycle and many parties will be very strong in retaining their Govt in the State.

Major Elections to be held:

West Bengal, Tamil Nadu, Assam, Kerala.

By the end of 2026
most of the District Delimitation will be done",Thu Jan 23 13:16:58 +0000 2025,3,64
26,MADE EASY,"India’s New Chief Election Commissioner  

Gyanesh Kumar is the 26th Chief Election Commissioner, first under the new selection law! His tenure lasts till Jan 26, 2029, overseeing key elections like Bihar (2025), Tamil Nadu &amp; West Bengal (2026)  

IIT Kanpur, Harvard alumnus &amp; https://t.co/ylGYDANaZk",Wed Feb 19 12:07:44 +0000 2025,0,2
27,Siddharth's Echelon,"Thalapathy held his first political rally and speech yesterday in Tamil Nadu. He has launched his political party TVK earlier. Lacs of fans came to see and listen to him.

A car used in Actor Vijay’s movie GOAT had registration number TN07 CM 2026.

Tamil Nadu has elections in https://t.co/NZq9AWzmFQ",Tue Oct 29 10:38:31 +0000 2024,0,29
28,Vijay Fans Trends,".@actorvijay : In 1967, Tamil Nadu witnessed a massive political shift, followed by another in 1977. These elections proved the power of the people, driven by the relentless efforts of those who stood firm.

In 2026, we will carve a new path of political leadership with the same https://t.co/L9N0WJi6kF",Sun Feb 02 03:59:29 +0000 2025,407,1233
29,The Herd,"Vijay’s Masterstroke: TVK to Field 120 District Secretaries in 2026 Tamil Nadu Elections!

In a bold and unprecedented move, Tamilaga Vettri Kazhagam (TVK) leader Vijay has devised a powerful strategy for the 2026 Tamil Nadu Assembly elections—fielding all 120 district https://t.co/GRxsRmGp6b",Sat Feb 08 13:29:42 +0000 2025,0,0
30,ANI,"Chennai, Tamil Nadu | AIADMK leader D Jayakumar says, ""AIADMK Organizational Secretary and senior leader says it may be their (BJP) wish to have an alliance with AIADMK but no alliance with BJP will be formed in 2026 Assembly elections. This is AIADMK's political stand."" https://t.co/klsb9pC8gF",Mon Jan 27 12:41:59 +0000 2025,54,265
31,मैं हूँ Sanatani 🇮🇳 🚩🚩,"@TimesAlgebraIND We will give a befitting reply to DMK in the 2026 assembly elections

— K. Annamalai, President, BJP Tamil Nadu https://t.co/NUPMmMzzzx",Wed Feb 26 11:37:50 +0000 2025,64,469
32,Muhammad Bin Tughlaq,"Central BJP and Annamalai are on the same page. That facing 2026 without alliance from ADMK or DMK. 

Both Shan and Modi think that even if DMK comes back in 2026, DMK has to face a double incumbency in 2029. Weaked ADMK, BJP can get better negotiation from weak ADMK and maybe",Wed Jan 08 10:46:06 +0000 2025,149,747
33,Varun,"In Tamil Nadu NDA can win max 0-6 seats
on candidate strength

🔸 BJP - 3 : C,T,V
🔸 Ally - 3 : R,D,T

If BJP win,

▪️4 seat - BJP will win &gt;10 seats in 2026 w/o grand alliance
▪️5 seat - Existential crisis of Admk
▪️6 seat - Checkmate to DMK
▪️7 seat - TN is not far away for BJP https://t.co/uozgKoUbiS",Fri May 17 06:50:12 +0000 2024,68,535
34,Prashanth Kini,ANNAMALAI will become opposition leader of Tamilnadu in 2026 ✅️,Sun Dec 29 11:50:25 +0000 2024,111,1329
35,Zephyr,@AskPerplexity @AskPerplexity what about BJP's performance in Tamil Nadu's 2026 assembly elections? Explain thoroughly with data to backup your stance.,Fri Feb 28 05:22:49 +0000 2025,0,1
36,The Random Guy,"@TimesAlgebraIND We will give a befitting reply to DMK in the 2026 assembly elections

— K. Annamalai, President, BJP Tamil Nadu

https://t.co/weluoKU5QP",Thu Dec 26 15:14:01 +0000 2024,32,282
37,K.T. Rajasingham,"Renowned election strategist Prashant Kishor,, recently met actor turned politician and chief of TVK, Vijay in Chennai. According to the reports, Prashant Kishor assured Vijay of his ""support and guidance"" for TVK's victory in the 2026 Tamil Nadu assembly elections. https://t.co/yneneAUQJi",Thu Feb 13 02:41:29 +0000 2025,0,0
38,Vasanth Lakshman,"The fun begins from 31st Jan 2025… 

Sleepless nights begins for many in TN and Delhi… 

This is going to be the real game changer for the 2026 assembly elections in Tamil Nadu.

@satyenaiadmk @sansbarrier @GowriSankarD_ @SHYAMKUMARBL https://t.co/8odz1Pl5nH",Thu Jan 23 09:10:41 +0000 2025,38,179
39,George 🍿🎥,"'#Vijay will be the central figure in Tamil Nadu 2026 assembly elevations.' 🔥
- Reporter Mani 
#TVK
https://t.co/WAYJd1n28T",Fri Nov 08 17:26:55 +0000 2024,449,2239
40,Vasanth Lakshman,"2026 it’s going to be @AIADMKOfficial and @EPSTamilNadu back to rule. 

After Pongal EPS will start his visit to all the 234 constituencies. This will be the start of the election campaign - @rajanchellppavv 

@satyenaiadmk https://t.co/PKONkIK7iK",Wed Jan 01 06:27:19 +0000 2025,83,385
41,Madhav kumar,"Actor-politician and Tamilaga Vettri Kazhagam (TVK) chief Vijay marked his party’s first anniversary with a grand public meeting in Mahabalipuram, setting the stage for a political showdown ahead of Tamil Nadu’s 2026 elections. Sharing the stage with election strategist https://t.co/X1wM08YIYY",Wed Feb 26 11:04:16 +0000 2025,0,1
42,Bharathiya Citizen 🇮🇳,"Praying God Almighty to see the Similar Message from Tamil Nadu too in 2026 after Assembly Elections from the Anti Hindu, Anti Brahmin  Scoundrel of the Most Corrupted Family Party which is famous for their Scientific Corruption Practices, Looting tamil nadu. https://t.co/HSYhvO2uvH",Sat Feb 08 10:46:27 +0000 2025,0,2
43,Forum Digitalpolitics,"🚀 Digital Politics Mini Conclave – TiruppurJoin 7 political leaders to discuss how tech and AI will shape Tamil Nadu’s 2026 elections.📍 Tiruppur
📅 8th March 2025 | 3 PM
🔗 Register Now!Be part of the digital revolution! 🚀
#DigitalPolitics #Election2026 https://t.co/AB0EnjtupC",Thu Feb 27 11:06:54 +0000 2025,0,2
44,Forum Digitalpolitics,"🚀 Digital Politics Mini Conclave – TiruppurJoin 7 political leaders to discuss how tech and AI will shape Tamil Nadu’s 2026 elections.📍 Tiruppur
📅 8th March 2025 | 3 PM
🔗 Register Now!Be part of the digital revolution! 🚀
#DigitalPolitics #Election2026 https://t.co/pEVgAGD9iA",Thu Feb 27 11:08:56 +0000 2025,0,0
45,Gayathri Raguramm - Say No To Drugs & DMK,"Ayya is unstoppable, and Ayya is fearless, just like Puratchi Thalaivar MGR and Puratchi Thalaivi Amma. Our Hon’ble former CM, Puratchi Tamizhar, and Kazhaga General Secretary Ayya Edappadiyar will be the voices of Tamil Nadu in the 2024 and 2026 elections. https://t.co/JxemhYoIc8",Sat Mar 09 03:46:43 +0000 2024,25,124
